gene,gene_features,celltype_features,niche_features,total_selected
ADH1B,"ACTA2,ACTG2,ALDH1A3,ANKRD28,BTNL9,C15orf48,C1QC,CCDC80,CCL20,CCND1,CD247,CD27,CD4,CD68,CDH1,CEACAM6,CTTN,CXCL12,DPT,DSC2,EPCAM,ERBB2",DCIS_2,niche_5,24
CCL5,"ANKRD28,APOC1,AQP1,AQP3,BACE2,BTNL9,CD14,CD247,CD3E,CD68,CD8A,CX3CR1,CXCR4,CYP1A1,ELF5,ENAH,ERBB2,FLNB,IL7R,LUM,PLD4,POLR2J3,POSTN",LAMP3+_DCs,niche_2,25
LAG3,,,,0
CRISPLD2,"ACTG2,ADIPOQ,AHSP,AIF1,ANKRD30A,APOC1,AVPR1A,BACE2,C1QA,C2orf42,C5orf46,C6orf132,CAVIN2,CCL8,CCPG1,CD27,CD274,CD4,CD68,CD69,CD79A,CD83,CD8A,CD9,CD93,CEACAM6,CLCA2,CLDN4,CLEC14A,CLIC6,CPA3,CRHBP,DST","DCIS_2,Invasive_Tumor,Macrophages_1,Myoepi_ACTA2+,Endothelial,B_Cells,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_4,niche_5",45
APOBEC3A,,,,0
CD3E,"ACTA2,AGR3,ANKRD29,ANKRD30A,AVPR1A,BASP1,C1QC,C6orf132,CCDC80,CCL5,CCL8,CCND1,CD274,CD4,CD68,CD79A,CD79B,CD8A,CD93,CDC42EP1,CLDN5,CLEC14A,CLIC6,CPA3,CRHBP,CTTN,CX3CR1,DERL3","DCIS_2,Invasive_Tumor,Macrophages_1,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_1,niche_5",36
CLECL1,,,,0
CD68,"ACTA2,ACTG2,AIF1,ANKRD30A,C15orf48,C1QA,C1QC,CCDC80,CCND1,CD14,CD163,CD4,CDH1,CEACAM6,CX3CR1,CXCL12,CXCR4,DERL3,ERBB2,FAM107B",,niche_2,21
DERL3,,,,0
MMP2,"ABCC11,ACTG2,ADH1B,BANK1,BTNL9,C1QC,CAV1,CCL5,CCND1,CCR7,CD14,CD163,CD1C,CD27,CD3G,CD79B,CD80,CD86,CD8A,CLDN4,CLEC9A,CTH,CTLA4,CTSG,CXCL12,DERL3,DMKN,DNAAF1,EDNRB,EGFR,ELF3,ELF5,EPCAM","Unlabeled,DCIS_1,B_Cells,Stromal_&_T_Cell_Hybrid,IRF7+_DCs","niche_3,niche_4",40
CCPG1,"ADH1B,ADIPOQ,AGR3,ALDH1A3,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP3,AR,BACE2,BANK1,BASP1,C15orf48,CAVIN2,CCDC6,CCDC80,CCL20,CCND1,CCR7,CD163,CD1C,CD27,CD274,CD3D,CD4,CD69,CD79A,CD93,CDC42EP1,CEACAM8","Invasive_Tumor,Stromal,DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,CD4+_T_Cells,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_5",44
KDR,"ACTA2,ACTG2,ADGRE5,ADH1B,ADIPOQ,AHSP,ALDH1A3,ANKRD30A,AQP1,C1QA,C2orf42,C5orf46,CAVIN2,CCDC6,CCL20,CCL5,CCPG1,CD163,CD247,CD3D,CD68,CD69,CD80,CD83,CD86,CD8A,CD8B,CD93,CDC42EP1,CEACAM6,CLDN4,CLDN5","DCIS_2,DCIS_1,Endothelial,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid",niche_2,39
CD4,"ACTA2,ADH1B,ADIPOQ,AHSP,AKR1C3,AQP1,AR,BACE2,CAV1,CAVIN2,CCDC80,CCL5,CCND1,CCR7,CD14,CD163,CD247,CD3G,CD68,CD69,CD79A,CD79B,CD8A,CD9,CLCA2,CLDN4,CLEC14A,CRISPLD2,CTSG,CX3CR1,CXCL12,CXCL5,CXCR4,CYTIP,DAPK3,DMKN,DSC2,DST","DCIS_2,Unlabeled,Invasive_Tumor,CD8+_T_Cells,Prolif_Invasive_Tumor,Macrophages_2,Perivascular-Like","niche_3,niche_5",47
CTSG,,,,0
TUBB2B,"ABCC11,ACTA2,ADAM9,AKR1C3,ANKRD28,AQP1,AQP3,BANK1,BASP1,BTNL9,C6orf132,CD19,CD1C,CD3G,CD4,CD69,CD79A,CD93,CDC42EP1,CENPF,CLDN5,CLECL1,CRHBP,CRISPLD2,CTH,CX3CR1,CXCR4,CYP1A1,DMKN,DSC2,DUSP2,EDN1,EDNRB,ENAH,ERN1,FAM49A,FCER1A,FCER1G,FSTL3,DST","DCIS_2,Invasive_Tumor,Prolif_Invasive_Tumor,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,Myoepi_KRT15+",niche_2,48
MRC1,"AGR3,AKR1C1,APOBEC3B,AQP1,C1QC,CAV1,CCL20,CCL8,CD1C,CD274,CD69,CD83,CD8A,CD93,CLCA2,CLDN4,CXCL12,ESR1,ITGAX,KARS,KLRB1,KRT23,LILRA4,MDM2,MEDAG,MLPH,MMP12,MYLK,DST","Invasive_Tumor,Stromal,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,Mast_Cells,B_Cells,Macrophages_2,LAMP3+_DCs,IRF7+_DCs",,38
LEP,,,,0
KARS,"ADGRE5,AGR3,AKR1C3,BANK1,CCL5,CCND1,CCPG1,CCR7,CD27,CD9,CDC42EP1,CEACAM8,CLEC14A,DERL3,DNTTIP1,DPT,EIF4EBP1,ELF3,ESM1,FAM107B,FASN,FOXA1,FSTL3,GZMB,IL2RG,LARS,LYPD3,DST",,,28
SEC11C,"ABCC11,ALDH1A3,CD8B,CDC42EP1,CLDN5,CLEC9A,CXCL5,EDNRB,ESR1,GLIPR1,HMGA1,KRT23,LARS,PDCD1LG2,RUNX1,SELL,TCF7,THAP2,VWF",,,19
