ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
CD63,COL17A1,Ductal,permCAF,0.804113739
CD63,DCN,B,T,0.857994388
CD63,FXYD3,Ductal,permCAF,0.78096854
CD63,GSTP1,B,T,0.786920952
CD74,APP,permCAF,Macrophage,0.795579748
CD74,CNN2,restCAF,Endothelial,0.806226816
CD74,COL4A1,restCAF,Endothelial,0.793895332
CD74,COL4A2,restCAF,Endothelial,0.803516513
CD74,COL5A1,restCAF,Endothelial,0.790332358
CD74,COL6A2,restCAF,Endothelial,0.790364312
CD74,DCN,restCAF,Endothelial,0.780084464
CD74,F3,restCAF,Endothelial,0.790142392
CD74,HSPB1,restCAF,Endothelial,0.777494084
CEBPB,DCN,B,T,0.838356456
CEBPD,DCN,B,T,0.774241087
CFTR,S100A10,restCAF,Ductal,0.830292823
CNN2,DCN,B,T,0.871787434
CNN2,GSTP1,B,T,0.817857123
CNN2,GSTP1,Endothelial,restCAF,0.791347882
COL17A1,COL4A1,permCAF,Ductal,0.800292823
COL17A1,COL4A2,permCAF,Ductal,0.812349151
COL17A1,COL6A2,permCAF,Ductal,0.793471409
COL17A1,CST3,permCAF,Ductal,0.788667334
COL17A1,CTSB,permCAF,Ductal,0.789567694
COL17A1,DCN,permCAF,Ductal,0.786390691
COL17A1,DDX5,permCAF,Ductal,0.780256002
COL17A1,F3,permCAF,Ductal,0.802541072
COL17A1,FTH1,permCAF,Ductal,0.771671382
COL17A1,FXYD5,permCAF,Ductal,0.802706526
COL17A1,GSTP1,permCAF,Ductal,0.791761677
COL17A1,HNRNPH3,permCAF,Ductal,0.782553542
COL17A1,HSPB1,permCAF,Ductal,0.821529569
COL17A1,CTSB,permCAF,Ductal,0.736008195
COL17A1,DDIT4,permCAF,Ductal,0.713478208
COL17A1,EGLN3,Ductal,permCAF,0.707401175
COL17A1,F3,Ductal,permCAF,0.732031686
COL17A1,F3,permCAF,Ductal,0.700448319
COL17A1,KRT19,permCAF,Ductal,0.720397465
COL17A1,LGALS1,permCAF,Ductal,0.702573764
COL17A1,MYL6,permCAF,Ductal,0.69482407
COL17A1,NBL1,permCAF,Ductal,0.712000043
COL17A1,PKM,permCAF,Ductal,0.714889518
COL17A1,SH3BGRL3,permCAF,Ductal,0.72254777
COL17A1,TAGLN,permCAF,Ductal,0.743287091
COL17A1,TPM1,permCAF,Ductal,0.747592609
COL18A1,ITGA5,permCAF,Ductal,0.420152778
COL1A1,ITGA5,Ductal,permCAF,0.536989911
COL1A1,ITGA5,Endothelial,Ductal,0.482127934
COL1A1,ITGA5,Macrophage,Ductal,0.523890892
COL1A1,ITGA5,Macrophage,permCAF,0.688228834
COL1A1,ITGA5,Monocyte,Ductal,0.746856213
COL1A1,ITGA5,Monocyte,permCAF,0.528237869
COL1A1,ITGA5,Pericyte,Ductal,0.462749527
COL1A1,ITGA5,permCAF,Ductal,0.619056572
COL1A1,ITGA5,restCAF,Ductal,0.483750253
COL1A1,ITGA5,restCAF,permCAF,0.617109918
COL1A1,ITGA5,T,Ductal,0.400630331
COL1A1,ITGA5,T,permCAF,0.635818716
COL4A1,DCN,B,T,0.893074099
COL4A1,FXYD3,Ductal,permCAF,0.792400551
COL4A1,GSTP1,B,T,0.828797815
COL4A1,GSTP1,Endothelial,restCAF,0.77517419
COL4A1,HSPB1,Endothelial,restCAF,0.772841076
COL4A2,DCN,B,T,0.866190031
COL4A2,FXYD3,Ductal,permCAF,0.806286092
COL4A2,GSTP1,B,T,0.789051524
COL4A2,GSTP1,Endothelial,restCAF,0.777752445
COL4A2,HSPB1,Endothelial,restCAF,0.779969133
COL5A1,DCN,B,T,0.840004699
COL5A1,FXYD3,Ductal,permCAF,0.773293043
COL5A1,GSTP1,B,T,0.804345343
COL5A1,TAGLN,permCAF,Ductal,0.704244124
COL6A2,DCN,B,T,0.894985328
COL6A2,GSTP1,B,T,0.816153307
COL6A3,IGFBP5,restCAF,permCAF,0.413112847
COL6A3,SERPINE1,restCAF,Ductal,0.402125023
COL6A3,SERPINE1,restCAF,Endothelial,0.618046825
COL6A3,THBS1,restCAF,permCAF,0.493180904
CST3,DCN,B,T,0.79196109
CST3,FXYD3,Ductal,permCAF,0.781872056
CTSB,DCN,B,T,0.896339795
CTSB,GSTP1,B,T,0.824711372
CTSB,HSPB1,Endothelial,restCAF,0.771908347
CTSB,DDIT4,Ductal,permCAF,0.709680571
CTSB,EGLN3,Ductal,permCAF,0.785234256
CTSB,ERRFI1,Ductal,permCAF,0.701239396
CTSB,F3,Ductal,permCAF,0.752781279
CTSB,KRT19,Ductal,permCAF,0.711580868
CTSB,LGALS1,Ductal,permCAF,0.691414193
CTSB,MMP2,Ductal,permCAF,0.718705543
CTSB,MYL6,Ductal,permCAF,0.709963632
CTSB,NBL1,Ductal,permCAF,0.757260218
CTSB,PKM,Ductal,permCAF,0.744035393
CTSB,PKM,permCAF,Ductal,0.693581349
CTSB,S100A10,Ductal,permCAF,0.749807704
CTSB,SH3BGRL3,Ductal,permCAF,0.714870405
CTSB,TAGLN,Ductal,permCAF,0.735011118
CTSB,TAGLN,permCAF,Ductal,0.694790191
CTSB,THBS2,Ductal,permCAF,0.716182441
CTSB,TIMP1,Ductal,permCAF,0.690148739
CTSB,TPM1,Ductal,permCAF,0.690391092
DCN,DDIT4,T,B,0.858348536
DCN,DDX5,T,B,0.791035886
DCN,F3,T,B,0.87191533
DCN,FABP4,T,B,0.844094734
DCN,FBN1,T,B,0.78355254
DCN,FTL,T,B,0.882543558
DCN,GSTP1,T,B,0.905240765
DCN,HNRNPH3,T,B,0.829312275
DCN,HSPB1,T,B,0.838789578
DDIT4,GSTP1,B,T,0.789291162
DDIT4,EGLN3,Ductal,permCAF,0.713468602
DDIT4,F3,Ductal,permCAF,0.695093321
DDIT4,KRT19,Ductal,permCAF,0.690648057
DDIT4,NBL1,permCAF,Ductal,0.690292271
DDIT4,TAGLN,Ductal,permCAF,0.736169901
DDIT4,TAGLN,permCAF,Ductal,0.769946896
