method,gene
nnSVG,CD151
nnSVG,POLR2L
nnSVG,CTSD
nnSVG,SYT8
nnSVG,LSP1
nnSVG,CD81
nnSVG,ILK
nnSVG,TAF10
nnSVG,EIF3F
nnSVG,RPL27A
nnSVG,EIF4G2
nnSVG,RPS13
nnSVG,LDHA
nnSVG,CD59
nnSVG,CD44
nnSVG,TIMM10
nnSVG,SERPING1
nnSVG,SELENOH
nnSVG,DDB1
nnSVG,TMEM258
nnSVG,FADS2
nnSVG,FADS1
nnSVG,FTH1
nnSVG,SCGB1D2
nnSVG,SCGB2A2
nnSVG,AHNAK
nnSVG,EEF1G
nnSVG,UBXN1
nnSVG,BSCL2
nnSVG,SLC3A2
nnSVG,RTN3
nnSVG,COX8A
nnSVG,VEGFB
nnSVG,PPP1R14B
nnSVG,ESRRA
nnSVG,PRDX5
nnSVG,SF1
nnSVG,VPS51
nnSVG,TM7SF2
nnSVG,FAU
nnSVG,CAPN1
nnSVG,NEAT1
nnSVG,MALAT1
nnSVG,LTBP3
nnSVG,EHBP1L1
nnSVG,CFL1
nnSVG,DRAP1
nnSVG,CST6
nnSVG,RAB1B
nnSVG,CD248
nnSVG,GRK2
nnSVG,POLD4
nnSVG,PPP1CA
nnSVG,RPS6KB2
nnSVG,TMEM134
nnSVG,GSTP1
nnSVG,NDUFV1
nnSVG,ALDH3B2
nnSVG,NDUFS8
nnSVG,GAL
nnSVG,CCND1
nnSVG,DHCR7
nnSVG,NUMA1
nnSVG,LAMTOR1
nnSVG,RPS3
nnSVG,SERPINH1
nnSVG,DGAT2
nnSVG,TSKU
nnSVG,THRSP
nnSVG,NDUFC2
nnSVG,CRYAB
nnSVG,TIMM8B
nnSVG,NNMT
nnSVG,TAGLN
nnSVG,ATP5MG
nnSVG,RPS25
nnSVG,TRIM29
nnSVG,HSPA8
nnSVG,EI24
nnSVG,APLP2
nnSVG,VWF
nnSVG,CD9
nnSVG,GAPDH
nnSVG,MLF2
nnSVG,PTMS
nnSVG,TPI1
nnSVG,C12orf57
nnSVG,PHB2
nnSVG,C1R
nnSVG,A2M
nnSVG,YBX3
nnSVG,EMP1
nnSVG,H2AFJ
nnSVG,MGP
nnSVG,MGST1
nnSVG,SLC38A2
nnSVG,TUBA1B
nnSVG,TUBA1C
nnSVG,TMBIM6
nnSVG,AQP5
nnSVG,DAZAP2
nnSVG,KRT7
nnSVG,KRT6B
nnSVG,KRT6A
nnSVG,KRT5
nnSVG,KRT71
nnSVG,KRT2
nnSVG,KRT1
nnSVG,KRT79
nnSVG,EIF4B
nnSVG,IGFBP6
nnSVG,PFDN5
nnSVG,PCBP2
nnSVG,ATP5MC2
nnSVG,HNRNPA1
nnSVG,DCD
nnSVG,MUCL1
nnSVG,BLOC1S1
nnSVG,CD63
nnSVG,RPS26
nnSVG,RPL41
nnSVG,MYL6
nnSVG,CS
nnSVG,ATP5F1B
nnSVG,NACA
nnSVG,STAT6
nnSVG,LRP1
nnSVG,DCTN2
nnSVG,NAP1L1
nnSVG,DCN
nnSVG,BTG1
nnSVG,SLC25A3
nnSVG,HSP90B1
nnSVG,MVK
nnSVG,ALDH2
nnSVG,RPL6
nnSVG,PEBP1
nnSVG,RPLP0
nnSVG,COX6A1
nnSVG,DYNLL1
nnSVG,ANAPC5
nnSVG,ARL6IP4
nnSVG,UBC
nnSVG,AACS
nnSVG,SAP18
nnSVG,MRPL57
nnSVG,RPL21
nnSVG,HMGB1
nnSVG,POSTN
nnSVG,TPT1
nnSVG,ITM2B
nnSVG,KLF5
nnSVG,COMMD6
nnSVG,ARGLU1
nnSVG,GAS6
nnSVG,RNASE1
nnSVG,NDRG2
nnSVG,HNRNPC
nnSVG,OXA1L
nnSVG,MRPL52
nnSVG,LRP10
nnSVG,PSME1
nnSVG,PSME2
nnSVG,NEDD8
nnSVG,CTSG
nnSVG,RPS29
nnSVG,RPL36AL
nnSVG,AL627171.2
nnSVG,LGALS3
nnSVG,ZFP36L1
nnSVG,SRSF5
nnSVG,ACOT1
nnSVG,NPC2
nnSVG,CALM1
nnSVG,NDUFB1
nnSVG,IFI27
nnSVG,IFI27L2
nnSVG,EVL
nnSVG,DYNC1H1
nnSVG,HSP90AA1
nnSVG,CKB
nnSVG,ATP5MPL
nnSVG,SIVA1
nnSVG,AHNAK2
nnSVG,CRIP2
nnSVG,CRIP1
nnSVG,SRP14
nnSVG,SPINT1
nnSVG,SERF2
nnSVG,B2M
nnSVG,ANXA2
nnSVG,TPM1
nnSVG,PPIB
nnSVG,RAB11A
nnSVG,RPL4
nnSVG,RPLP1
nnSVG,PKM
nnSVG,ISLR
nnSVG,COX5A
nnSVG,ACSBG1
nnSVG,MORF4L1
nnSVG,CTSH
nnSVG,TMED3
nnSVG,RPS17
nnSVG,MFGE8
nnSVG,IDH2
nnSVG,CIB1
nnSVG,RHOT2
nnSVG,STUB1
nnSVG,TPSB2
nnSVG,TPSAB1
nnSVG,NME3
nnSVG,MRPS34
nnSVG,SPSB3
nnSVG,NDUFB10
nnSVG,RPS2
nnSVG,SNHG9
nnSVG,PKD1
nnSVG,DNASE1L2
nnSVG,ECI1
nnSVG,ATP6V0C
nnSVG,SRRM2
nnSVG,ELOB
nnSVG,HCFC1R1
nnSVG,PPL
nnSVG,MYH11
nnSVG,RPS15A
nnSVG,NUPR1
nnSVG,TUFM
nnSVG,TMEM219
nnSVG,ALDOA
nnSVG,BCL7C
nnSVG,FUS
nnSVG,PYCARD
nnSVG,MMP2
nnSVG,MT2A
nnSVG,MT1E
nnSVG,MT1X
nnSVG,ADGRG1
nnSVG,CIAO2B
nnSVG,ATP6V0D1
nnSVG,COX4I1
nnSVG,CYBA
nnSVG,MVD
nnSVG,APRT
nnSVG,TRAPPC2L
nnSVG,SPG7
